,id,owner_1_score,RATE_owner_1,CAP_AMOUNT_owner_1,PERCENT_OWN_owner_1,owner_2_score,RATE_owner_2,CAP_AMOUNT_owner_2,PERCENT_OWN_owner_2,owner_3_score,RATE_owner_3,CAP_AMOUNT_owner_3,PERCENT_OWN_owner_3,years_in_business,RATE_ID_FOR_years_in_business,fsr,RATE_ID_FOR_fsr,location,RATE_ID_FOR_location,funded_last_30,RATE_ID_FOR_funded_last_30,judgement_lien_percent,RATE_ID_FOR_judgement_lien_percent,INPUT_VALUE_ID_FOR_judgement_lien_amount,RATE_ID_FOR_judgement_lien_amount,INPUT_VALUE_ID_FOR_judgement_lien_time,RATE_ID_FOR_judgement_lien_time,INPUT_VALUE_ID_FOR_num_negative_days,RATE_ID_FOR_num_negative_days,INPUT_VALUE_ID_FOR_num_deposits,RATE_ID_FOR_num_deposits,INPUT_VALUE_ID_FOR_monthly_gross,RATE_ID_FOR_monthly_gross,INPUT_VALUE_ID_FOR_average_ledger,RATE_ID_FOR_average_ledger,INPUT_VALUE_ID_FOR_fc_margin,RATE_ID_FOR_fc_margin,INPUT_VALUE_ID_FOR_tax_lien_amount,RATE_ID_FOR_tax_lien_amount,INPUT_VALUE_ID_FOR_tax_lien_percent,RATE_ID_FOR_tax_lien_percent,INPUT_VALUE_ID_FOR_tax_lien_count,RATE_ID_FOR_tax_lien_count,INPUT_VALUE_ID_FOR_current_position,RATE_ID_FOR_current_position,INPUT_VALUE_ID_FOR_avg_net_deposits,RATE_ID_FOR_avg_net_deposits,INPUT_VALUE_ID_FOR_industry_type,RATE_ID_FOR_industry_type,INPUT_VALUE_owner_4,RATE_owner_4,CAP_AMOUNT_owner_4,PERCENT_OWN_owner_4,deal_application_thread_id,completion_status
1074,8218,573,C,35000,100,,,,,,,,,11.43,A,18,,Verified,A,N,,0,A,0,A,,,1,A,57.66666667,A,119874,A,14606.33333,A,0.12,A,0,A,0,A,0,A,1,A,119874,,preferred,,573,C,35000,100,7085,Paid in full
1163,1706,713,A,150000,100,,,,,,,,,3.08,A,80,,Verified,A,N,,0,A,0,A,,,0,A,34.66666667,A,785371,A,127546.85,A,0.16,A,0,A,0,A,0,A,2,C,785371,,standard,,713,A,150000,100,633,Paid in full
1812,7321,663,A,150000,100,,,,,,,,,25.08,A,,,Home,A,N,,0,A,0,A,,,0,A,0,R,0,D,0,D,0,D,0,A,0,A,0,A,0,A,0,,preferred,,663,A,150000,100,6411,Paid off with renewal
146,703,612,A,150000,100,,,,,,,,,6.02,A,80,,Verified,A,N,,0,A,0,A,,,0.75,A,25,A,90970.535,A,14522,A,0.16,A,0,A,0,A,0,A,2,C,90970.535,,standard,,612,A,150000,100,569,Paid in full
1109,6729,683,A,150000,100,,,,,,,,,9.73,A,89,,Verified,A,N,,0,A,0,A,,,0,A,40,A,595805.3333,A,11408,A,0.02,A,0,A,0,A,0,A,0,A,595805.3333,,preferred,,683,A,150000,100,5981,Paid off with renewal
87,634,503,C,35000,100,,,,,,,,,17.76,A,,,Verified,A,N,,0,A,0,A,,,0.25,A,4.5,R,99200.5,A,7020,A,0.07,A,0,A,0,A,0,A,2,C,99200.5,,preferred,,503,C,35000,100,503,Paid via discounted payoff
505,2629,542,C,35000,100,,,,,,,,,7.44,A,23,,Home,A,N,,0,A,0,A,,,2.333333333,C,29.33333333,A,45553.5,A,2737.166667,A,0.06,A,0,A,0,A,0,A,1,A,45553.5,,preferred,,542,C,35000,100,2724,Paid in full
1907,9421,667,A,150000,100,,,,,,,,,8.33,A,79,,Verified,A,N,,0,A,0,A,,,0,A,70.625,A,54977.75,A,25483.19875,A,0.46,A,0,A,0,A,0,A,0,A,54977.75,,preferred,,667,A,150000,100,7875,Paid in full
1700,7110,508,C,35000,100,,,,50,,,,,0.81,C,,,Verified,A,N,,0,A,0,A,,,0,A,31.4,A,0,D,6739.302,A,0,D,0,A,0,A,0,A,0,A,0,,preferred,,508,C,35000,100,319,Paid in full
614,4522,500,C,35000,100,,,,,,,,,6.98,A,6,,Verified,A,N,,0,A,0,A,,,1,A,23.75,A,103631.675,A,5852.5125,A,0.06,A,0,A,0,A,0,A,2,C,103631.675,,preferred,,500,C,35000,100,4468,Default
953,6801,517,C,35000,100,,,,,,,,,39.36,A,74,,Verified,A,N,,0,A,0,A,,,0,A,7,R,27590.59667,A,3467.333333,A,0.13,A,0,A,0,A,0,A,1,A,27590.59667,,preferred,,517,C,35000,100,5998,Paid in full
16,195,,,,100,,,,,,,,,16.48,A,,,Home,A,N,,0,A,0,A,,,3,C,42.75,A,0,D,6067.8925,A,0,D,0,A,0,A,0,A,2,C,0,,preferred,,0,,,,202,Paid in full
507,2864,620,A,150000,100,,,,,,,,,7.9,A,74,,Home,A,N,,0,A,0,A,,,0,A,0,R,0,D,0,D,0,D,0,A,0,A,0,A,0,A,0,,preferred,,620,A,150000,100,2982,Paid in full
1835,7121,616,A,150000,80,613,A,150000,20,,,,,20.75,A,69,,Verified,A,N,,0,A,0,A,,,0.5,A,84,A,52337.25,A,3688.25,A,0.07,A,0,A,0,A,0,A,2,C,52337.25,,preferred,,615,A,150000,100,1971,Paid off with renewal
1734,6232,762,A,150000,100,,,,,,,,,3.74,A,47,,Home,A,N,,0,A,0,A,,,0.125,A,11.75,A,129457,A,25519.125,A,0.2,A,0,A,0,A,0,A,1,A,129457,,preferred,,762,A,150000,100,5297,Paid in full
1046,7121,616,A,150000,80,613,A,150000,20,,,,,20.75,A,69,,Verified,A,N,,0,A,0,A,,,0.5,A,84,A,52337.25,A,3688.25,A,0.07,A,0,A,0,A,0,A,2,C,52337.25,,preferred,,615,A,150000,100,1971,Paid off with renewal
1936,10070,676,A,150000,70,619,B,100000,30,,,,,2.96,A,28,,Home,A,N,,0,A,0,A,,,0,A,13.75,B,30491.78,A,22747.2225,A,0.75,A,0,A,0,A,0,A,0,A,30491.78,,preferred,,658,A,150000,100,8337,Paid in full
619,4755,598,B,100000,100,,,,,,,,,6.68,A,92,,Verified,A,N,,0,A,0,A,,,0,A,32.25,A,182395.6925,A,65517.5,A,0.36,A,0,A,0,A,0,A,0,A,182395.6925,,preferred,,598,B,100000,100,4538,Paid in full
1450,4150,560,B,100000,100,,,,,,,,,3.82,A,12,,Verified,A,N,,0,A,0,A,,,0,A,31,A,26898.09167,A,3703.456667,A,0.14,A,0,A,0,A,0,A,1,A,26898.09167,,preferred,,560,B,100000,100,4107,Paid in full
1487,4473,590,B,100000,100,,,,,,,,,3.2,A,,,Home,A,N,,0,A,0,A,,,0,A,0,R,0,D,0,D,0,D,0,A,0,A,0,A,0,A,0,,preferred,,590,B,100000,100,4410,Paid in full
471,2929,500,C,35000,100,,,,,,,,,7.36,A,1,,Home,A,N,,0,A,0,A,,,3.75,C,10.5,R,70921.99,A,9731.49,A,0.14,A,0,A,0,A,0,A,0,A,70921.99,,preferred,,500,C,35000,100,2966,Default
429,1837,614,A,150000,100,,,,,,,,,16.09,A,31,,Verified,A,N,,0,A,0,A,,,0.25,A,30,A,17623.5,A,4500,A,0.26,A,0,A,0,A,0,A,1,A,17623.5,,preferred,,614,A,150000,100,1911,Paid in full
484,3150,641,A,150000,100,,,,,,,,,8.92,A,,,Home,A,N,,0,A,0,A,,,0,A,0,R,0,D,0,D,0,D,0,A,0,A,0,A,0,A,0,,preferred,,641,A,150000,100,3301,Paid in full
697,3586,623,A,150000,100,621,A,150000,50,,,,,4.83,A,85,,Verified,A,N,,0,A,0,A,,,0,A,56,A,68113.33333,A,3257.333333,A,0.05,A,0,A,0,A,0,A,2,C,68113.33333,,preferred,,622,A,150000,150,3550,Paid in full
1611,4851,606,A,150000,100,,,,,,,,,9.41,A,,,Home,A,N,,0,A,0,A,,,0,A,0,R,0,D,0,D,0,D,0,A,0,A,0,A,0,A,0,,preferred,,606,A,150000,100,4615,Default
1150,2112,666,A,150000,,,,,,,,,,,,28,,Verified,A,N,,0,A,0,A,,,0,A,14.5,A,65731.5,A,42818.75,A,0.65,A,0,A,0,A,0,A,2,C,65731.5,,preferred,,0,,,0,2211,Default
124,670,696,A,150000,100,,,,,,,,,8.86,A,6,,Verified,A,N,,0,A,0,A,,,0,A,25.4,A,91694.4,A,28085.2,A,0.31,A,0,A,0,A,0,A,1,A,91694.4,,standard,,696,A,150000,100,549,Paid off with renewal
1058,5899,636,A,150000,100,,,,,,,,,2.28,A,18,,Verified,A,N,,0,A,0,A,,,1.5,B,69.5,A,62348.64,A,1125.7,A,0.02,A,0,A,0,A,0,A,2,C,62348.64,,preferred,,636,A,150000,100,5328,Paid in full
1221,3712,544,C,35000,100,,,,,,,,,4.94,A,18,,Verified,A,N,,0,A,0,A,,,3.25,C,5.75,R,53294.225,A,5919.5,A,0.11,A,0,A,0,A,0,A,1,A,53294.225,,preferred,,544,C,35000,100,3792,Default
772,4507,600,A,150000,51,647,A,150000,49,,,,,4.81,A,,,Home,A,N,,0,A,0,A,,,0,A,0,R,0,D,0,D,0,D,0,A,0,A,0,A,0,A,0,,preferred,,623,A,150000,100,4443,Default
781,4979,667,A,150000,100,,,,,,,,,8.79,A,71,,Home,A,N,,0,A,0,A,,,0.25,A,4.75,R,30760,A,12656.5,A,0.41,A,0,A,0,A,0,A,0,A,30760,,capped,,667,A,150000,100,4638,Paid in full
2008,9088,632,B,100000,100,,,,,,,,,9.55,A,42,,Home,A,N,,0,A,0,A,,,0,A,25.33333333,A,14903.66667,A,1323.333333,A,0.09,A,0,A,0,A,0,A,0,A,14903.66667,,preferred,,632,B,100000,100,7616,Paid off with renewal
1426,4149,584,B,100000,100,,,,,,,,,7.83,A,35,,Verified,A,N,,0,A,0,A,,,0.2,A,29.2,A,78056.4,A,13122.656,A,0.17,A,0,A,0,A,0,A,2,C,78056.4,,preferred,,584,B,100000,100,4105,Default
1175,2733,663,A,150000,100,,,,,,,,,1.68,B,85,,Verified,A,N,,0,A,0,A,,,0.75,A,17.75,A,117634.75,A,10323.5675,A,0.09,A,0,A,0,A,0,A,1,A,117634.75,,preferred,,663,A,150000,100,2858,Paid in full
1503,3961,677,A,150000,100,,,,,,,,,0.75,C,29,,Verified,A,N,,0,A,0,A,,,0.5,A,35.75,A,92250.25,A,9163.98,A,0.1,A,0,A,0,A,0,A,1,A,92250.25,,preferred,,677,A,150000,100,3381,Default
539,3402,623,A,150000,100,,,,,,,,,4.83,A,85,,Verified,A,N,,0,A,0,A,,,0,A,56,A,68113.33333,A,3257.333333,A,0.05,A,0,A,0,A,0,A,2,C,68113.33333,,preferred,,623,A,150000,100,3550,Paid in full
1042,6780,614,A,150000,100,,,,,,,,,12.31,A,22,,Verified,A,N,,0,A,0,A,,,0,A,34.33333333,A,45551.43667,A,8615.893333,A,0.19,A,0,A,0,A,0,A,1,A,45551.43667,,preferred,,614,A,150000,100,5326,Paid off with renewal
679,4282,594,B,100000,100,,,,,,,,,31.22,A,,,Home,A,N,,0,A,0,A,,,0,A,0,R,0,D,0,D,0,D,0,A,0,A,0,A,0,A,0,,preferred,,594,B,100000,100,4245,Default
336,1911,,,,100,,,,,,,,,6.84,A,,,Home,A,N,,0,A,0,A,,,0.666666667,A,16.66666667,A,109106,A,7333.333333,A,0.07,A,0,A,0,A,0,A,1,A,109106,,preferred,,0,,,0,1977,Paid off with renewal
383,2193,640,A,150000,100,,,,,,,,,5.27,A,57,,Verified,A,N,,0,A,0,A,,,0,A,0,R,0,D,0,D,0,D,0,A,0,A,0,A,0,A,0,,preferred,,640,A,150000,100,2194,Paid in full
961,7267,616,A,150000,100,,,,,,,,,9.24,A,91,,Verified,A,N,,0,A,0,A,,,0,A,30,A,23536.66667,A,9333.333333,A,0.4,A,0,A,0,A,0,A,0,A,23536.66667,,preferred,,616,A,150000,100,6333,Paid via discounted payoff
1164,1741,674,A,150000,100,,,,,,,,,0.74,C,,,Home,A,N,,0,A,0,A,,,0,A,0,R,0,D,0,D,0,D,0,A,0,A,0,A,0,A,0,,preferred,,674,A,150000,100,1807,Paid off with renewal
823,4494,590,B,100000,100,,,,,,,,,1.52,B,6,,Home,A,N,,0,A,0,A,,,0,A,17.66666667,A,71951.5,A,13550.07667,A,0.19,A,0,A,0,A,0,A,1,A,71951.5,,preferred,,590,B,100000,100,4410,Paid in full
1082,8578,623,B,100000,100,,,,,,,,,11.2,A,78,,Home,A,N,,0,A,0,A,,,0,A,0,C,0,D,0,D,0,D,0,A,0,A,0,A,0,A,0,,preferred,,623,B,100000,100,7294,Paid off with renewal
385,2200,493,D,0,100,,,,,,,,,1.77,B,,,Verified,A,N,,0,A,0,A,,,0,A,0,R,20348.33333,A,1858.666667,A,0.09,A,0,A,0,A,0,A,1,A,20348.33333,,preferred,,493,D,0,100,2280,Paid in full
778,4851,606,A,150000,100,,,,,,,,,9.41,A,,,Home,A,N,,0,A,0,A,,,0,A,0,R,0,D,0,D,0,D,0,A,0,A,0,A,0,A,0,,preferred,,606,A,150000,100,4615,Default
1955,8995,704,A,150000,100,,,,,,,,,2.31,A,31,,Verified,A,N,,0,A,0,A,,,0,A,43.2,A,122193.6,A,18409.9,A,0.15,A,0,A,0,A,0,A,0,A,122193.6,,capped,,704,A,150000,100,7526,Paid in full
243,1013,744,A,150000,90,813,A,150000,10,,,,,4.2,A,47,,Verified,A,N,,0,A,0,A,,,0,A,125,A,102433.25,A,12222.5,A,0.12,A,0,A,0,A,0,A,0,A,102433.25,,standard,,750,A,150000,100,811,Paid in full
1897,8782,620,B,100000,100,,,,,,,,,2.15,A,29,,Home,A,N,,0,A,0,A,,,0,A,23.33333333,A,0,D,8550.083333,A,0,D,0,A,0,A,0,A,0,A,0,,preferred,,620,B,100000,100,7460,Paid via discounted payoff
1268,3124,649,A,150000,100,,,,,,,,,18.93,A,,,Home,A,N,,0,A,0,A,,,0,A,11.5,A,53664.67,A,11488.5,A,0.21,A,0,A,0,A,0,A,1,A,53664.67,,preferred,,649,A,150000,100,3266,Paid in full
1026,7313,691,A,150000,100,,,,,,,,,3.37,A,73,,Home,A,N,,0,A,0,A,,,0,A,0,R,0,D,0,D,0,D,0,A,0,A,0,A,0,A,0,,preferred,,691,A,150000,100,6407,Paid in full
458,3359,623,A,150000,100,,,,,,,,,4.72,A,86,,Home,A,N,,0,A,0,A,,,0,A,17,A,43919.5,A,2260.5,A,0.05,A,0,A,0,A,0,A,1,A,43919.5,,preferred,,623,A,150000,100,3515,Paid off with renewal
450,3030,570,B,100000,33.3,481,D,0,33.3,804,A,150000,33.3,2.24,A,2,,Verified,A,N,,0,A,0,A,,,1.6,B,13.6,A,27707.4,A,1165.2,A,0.04,A,0,A,0,A,0,A,1,A,27707.4,,preferred,,618,A,150000,99.9,2453,Paid in full
366,2113,581,B,100000,33,541,C,35000,33,,,,,2.38,A,55,,Verified,A,N,,0,A,0,A,,,7,D,77.33333333,A,44091,A,945,D,0.02,A,0,A,0,A,0,A,0,A,44091,,preferred,,561,B,100000,66,2187,Paid in full
398,2243,687,A,150000,100,,,,,,,,,4.26,A,,,Verified,A,N,,0,A,0,A,,,0,A,8.666666667,R,111407.6667,A,39669.33333,A,0.36,A,0,A,0,A,0,A,1,A,111407.6667,,preferred,,687,A,150000,100,2311,Paid in full
133,635,503,C,35000,100,,,,,,,,,17.76,A,1,,Home,A,N,,0,A,0,A,,,0.25,A,4.5,R,99200.5,A,7020,A,0.07,A,0,A,0,A,0,A,2,C,99200.5,,preferred,,503,C,35000,100,503,Paid via discounted payoff
1398,4066,537,C,35000,100,,,,,,,,,9.88,A,17,,Verified,A,N,,0,A,0,A,,,0.25,A,32.75,A,115187,A,10049.5,A,0.09,A,0,A,0,A,0,A,2,C,115187,,standard,,537,C,35000,100,4122,Default
1214,3349,738,A,150000,100,,,,,,,,,32.58,A,31,,Verified,A,N,,0,A,0,A,,,0,A,0,R,0,D,0,D,0,D,0,A,0,A,0,A,0,A,0,,preferred,,738,A,150000,100,3505,Default
879,5146,716,A,150000,100,,,,,,,,,5.58,A,,,Home,A,N,,0,A,0,A,,,0,A,0,R,0,D,0,D,0,D,0,A,0,A,0,A,0,A,0,,preferred,,716,A,150000,100,4765,Paid via discounted payoff
1714,7650,595,B,100000,100,,,,,,,,,8,A,25,,Verified,A,N,,0,A,0,A,,,0,A,32.5,A,45681.75,A,17387,A,0.38,A,0,A,0,A,0,A,2,C,45681.75,,preferred,,595,B,100000,100,6593,Default
1475,5066,610,A,150000,100,,,,,,,,,3.58,A,76,,Verified,A,N,,0,A,0,A,,,0,A,0,R,0,D,0,D,0,D,0,A,0,A,0,A,0,A,0,,preferred,,610,A,150000,100,4729,Paid in full
1476,5083,519,C,35000,100,,,,,,,,,11.05,A,22,,Verified,A,N,,0,A,0,A,,,2.666666667,C,49.66666667,A,18054,A,1418.333333,A,0.08,A,0,A,0,A,0,A,0,A,18054,,preferred,,519,C,35000,100,4713,Paid in full
1979,9663,764,A,150000,100,,,,,,,,,1.88,B,38,,Home,A,N,,0,A,0,A,,,0,A,6.666666667,C,762712.6667,A,150000,A,0.2,A,0,A,0,A,0,A,1,A,762712.6667,,preferred,,764,A,150000,100,7964,Paid off with renewal
2010,9216,601,B,100000,100,,,,,,,,,3.97,A,26,,Home,A,N,,0,A,0,A,,,0,A,0,C,0,D,0,D,0,D,0,A,0,A,0,A,0,A,0,,preferred,,601,B,100000,100,7777,Default
7,146,620,A,150000,0,,,,0,,,,0,8.13,A,,,Home,,N,,0,A,0,A,,,0,A,73.25,A,0,D,27761,A,0,D,0,A,0,A,0,A,2,C,130551.27,,preferred,,,,,,153,Paid off with renewal
970,6202,488,D,0,100,,,,,,,,,5.44,A,4,,Unknown,,N,,0,A,0,A,,,0.25,A,14,A,76942.5,A,6579,A,0.09,A,0,A,0,A,0,A,0,A,76942.5,,preferred,,488,D,0,100,5529,Paid in full
518,3616,,,,100,,,,,,,,,4.94,A,,,Home,A,N,,0,A,0,A,,,0,A,0,R,25000,A,0,D,0,D,0,A,0,A,0,A,0,A,25000,,preferred,,0,,,0,3463,Paid in full
863,6366,662,A,150000,100,,,,,,,,,15.22,A,28,,Home,A,N,,0,A,0,A,,,0,A,0,R,0,D,0,D,0,D,0,A,0,A,0,A,0,A,0,,preferred,,662,A,150000,100,5675,Paid in full
1565,5395,624,A,150000,100,,,,,,,,,0.93,C,,,Verified,A,N,,0,A,0,A,,,0,A,0,R,0,D,0,D,0,D,0,A,0,A,0,A,0,A,0,,preferred,,624,A,150000,100,4933,Paid off with renewal
1612,4894,609,A,150000,100,,,,,,,,,4.95,A,4,,Verified,A,N,,0,A,0,A,,,0,A,87.66666667,A,113406.495,A,52849.66667,A,0.47,A,0,A,0,A,0,A,1,A,113406.495,,standard,,609,A,150000,100,4618,Paid in full
1177,2831,432,D,0,100,,,,,,,,,3.06,A,13,,Verified,A,N,,0,A,0,A,,,0,A,60,A,50542.8,A,14812.8,A,0.29,A,0,A,0,A,0,A,1,A,50542.8,,preferred,,432,D,0,100,2828,Paid off with renewal
758,5011,519,C,35000,100,,,,,,,,,11.05,A,,,Home,A,N,,0,A,0,A,,,0,A,0,R,0,D,0,D,0,D,0,A,0,A,0,A,0,A,0,,preferred,,519,C,35000,100,4713,Paid in full
604,3329,577,B,100000,100,,,,,,,,,0.73,C,6,,Verified,A,N,,0,A,0,A,,,1.333333333,B,26,A,350464.3333,A,37499,A,0.11,A,0,A,0,A,0,A,0,A,350464.3333,,capped,,577,B,100000,100,3476,Paid off with renewal
392,2806,646,A,150000,100,,,,,,,,,31.82,A,98,,Home,A,N,,0,A,0,A,,,0,A,0,R,0,D,0,D,0,D,0,A,0,A,0,A,0,A,0,,preferred,,646,A,150000,100,2924,Paid in full
109,702,612,A,150000,100,,,,,,,,,6.02,A,80,,Verified,A,N,,0,A,0,A,,,0.75,A,25,A,90970.535,A,14522,A,0.16,A,0,A,0,A,0,A,2,C,90970.535,,capped,,612,A,150000,100,569,Paid in full
171,764,659,A,150000,100,,,,,,,,,1.23,B,72,,Verified,A,N,,0,A,0,A,,,5.5,D,17,A,179154.25,A,22916,A,0.13,A,0,A,0,A,0,A,0,A,179154.25,,preferred,,659,A,150000,100,611,Default
403,2035,696,A,150000,50,680,A,150000,50,,,,,3.85,A,,,Verified,A,N,,0,A,0,A,,,0,A,2.5,R,309294.75,A,557187.5,A,1.8,A,0,A,0,A,0,A,0,A,309294.75,,preferred,,688,A,150000,100,2042,Paid off with renewal
378,2058,650,A,150000,100,,,,,,,,,5.54,A,4,,Verified,A,N,,0,A,0,A,,,1.6,B,15.4,A,24195.6,A,1911.8,A,0.08,A,0,A,0,A,0,A,2,C,24195.6,,preferred,,650,A,150000,100,2133,Default
234,914,510,C,35000,75,,,,,,,,,0.99,C,,,Home,A,N,,0,A,0,A,,,0.333333333,A,20,A,28115,A,4176,A,0.15,A,0,A,0,A,0,A,0,A,28115,,preferred,,510,C,35000,75,783,Default
1235,2162,537,C,35000,100,,,,,,,,,9.88,A,17,,Verified,A,N,,0,A,0,A,,,0.25,A,32.75,A,115187,A,10049.5,A,0.09,A,0,A,0,A,0,A,2,C,115187,,standard,,537,C,35000,100,2227,Paid off with renewal
935,6085,640,A,150000,100,,,,,,,,,2.31,A,43,,Verified,A,N,,0,A,0,A,,,0.75,A,20,A,52814.5,A,3015.75,A,0.06,A,0,A,0,A,0,A,1,A,52814.5,,preferred,,640,A,150000,100,5368,Paid off with renewal
1933,9894,576,B,100000,100,,,,,,,,,3.65,A,80,,Verified,A,N,,0,A,0,A,,,0,A,61,A,39307.33333,A,5976.333333,A,0.15,A,0,A,0,A,0,A,1,A,39307.33333,,preferred,,576,B,100000,100,8181,Default
1814,8097,548,C,35000,100,,,,,,,,,11.82,A,3,,Verified,A,N,,0,A,0,A,,,0,A,35,A,49774.75,A,6043,A,0.12,A,0,A,0,A,0,A,0,A,49774.75,,preferred,,548,C,35000,100,6916,Default
1493,4921,600,A,150000,51,647,A,150000,49,,,,,4.83,A,,,Verified,A,N,,0,A,0,A,,,0,A,0,R,58165,A,2500,A,0.04,A,0,A,0,A,0,A,1,A,58165,,preferred,,623,A,150000,100,4443,Default
531,3154,650,A,150000,100,,,,,,,,,5.76,A,40,,Verified,A,N,,0,A,0,A,,,2.125,C,10.125,R,40528.75,A,5029.375,A,0.12,A,0,A,0,A,0,A,0,A,40528.75,,preferred,,650,A,150000,100,3286,Paid in full
1457,4805,600,A,150000,51,647,A,150000,49,,,,,4.82,A,,,Verified,A,N,,0,A,0,A,,,0,A,0,R,58165,A,2500,A,0.04,A,0,A,0,A,0,A,2,C,58165,,preferred,,623,A,150000,100,4443,Default
810,4114,537,C,35000,100,,,,,,,,,10.02,A,17,,Verified,A,N,,0,A,0,A,,,0.2,A,32.6,A,108504.4,A,12460.4,A,0.11,A,0,A,0,A,0,A,2,C,108504.4,,standard,,537,C,35000,100,4122,Default
1219,3537,698,A,150000,100,,,,,,,,,4.94,A,,,Verified,A,N,,0,A,0,A,,,0,A,5.25,R,14755.4,A,4442,A,0.3,A,0,A,0,A,0,A,1,A,14755.4,,preferred,,698,A,150000,100,3637,Paid off with renewal
1234,3205,643,A,150000,100,,,,,,,,,1.26,B,,,Verified,A,N,,0,A,0,A,,,1.75,B,66.25,A,32116.75,A,1375,A,0.04,A,0,A,0,A,0,A,0,A,32116.75,,preferred,,643,A,150000,100,3367,Paid in full
528,4262,661,A,150000,100,,,,,,,,,23.31,A,88,,Verified,A,N,,0,A,0,A,,,0,A,0,R,0,D,0,D,0,D,0,A,0,A,0,A,0,A,0,,preferred,,661,A,150000,100,4222,Paid in full
1392,3493,595,B,100000,100,,,,,,,,,1.82,B,6,,Verified,A,N,,0,A,0,A,,,2.666666667,C,51.33333333,A,21287.33333,A,3424,A,0.16,A,0,A,0,A,0,A,0,A,21287.33333,,preferred,,595,B,100000,100,3561,Paid in full
1567,5572,479,D,0,50,,,,,,,,,3.6,A,6,,Verified,A,N,,0,A,0,A,,,0,A,27.5,A,51259.0075,A,2750,A,0.05,A,0,A,0,A,0,A,1,A,51259.0075,,preferred,,479,D,0,50,5028,Paid in full
1746,7424,591,B,100000,100,,,,,,,,,7.07,A,86,,Verified,A,N,,0,A,0,A,,,0.857142857,A,5.714285714,C,137141.4286,A,5000,A,0.04,A,0,A,0,A,0,A,2,C,137141.4286,,capped,,591,B,100000,100,6445,Paid in full
1297,3839,598,B,100000,100,,,,,,,,,5.87,A,49,,Home,A,N,,0,A,0,A,,,0,A,0,R,0,D,0,D,0,D,0,A,0,A,0,A,0,A,0,,preferred,,598,B,100000,100,3898,Paid off with renewal
555,3918,498,D,0,100,,,,,,,,,15.99,A,54,,Verified,A,N,,0,A,0,A,,,0.5,A,27.25,A,41224.25,A,9573.08,A,0.23,A,0,A,0,A,0,A,0,A,41224.25,,capped,,498,D,0,100,3876,Paid off with renewal
1151,2158,620,A,150000,100,,,,,,,,,8.28,A,,,Verified,A,N,,0,A,0,A,,,0,A,0,R,150000,A,8000,A,0.05,A,0,A,0,A,0,A,2,C,150000,,preferred,,620,A,150000,100,2234,Paid off with renewal
75,200,620,A,150000,100,,,,,,,,,8.13,A,,,Home,A,N,,0,A,0,A,,,0,A,73.25,A,130551.27,A,27761,A,0.21,A,0,A,0,A,0,A,2,C,130551.27,,preferred,,620,A,150000,,153,Paid off with renewal
1558,4802,600,A,150000,51,647,A,150000,49,,,,,4.82,A,,,Verified,A,N,,0,A,0,A,,,0,A,0,R,58165,A,2500,A,0.04,A,0,A,0,A,0,A,1,A,58165,,preferred,,623,A,150000,100,4443,Default
2004,9739,593,B,100000,100,,,,,,,,,14.16,A,6,,Unknown,,N,,0,A,0,A,,,3.25,C,59.5,A,16674.25,A,5000,A,0.3,A,0,A,0,A,0,A,0,A,16674.25,,preferred,,593,B,100000,100,8128,Default
1408,4656,600,A,150000,100,,,,,,,,,20.32,A,,,Home,A,N,,0,A,0,A,,,0,A,0,R,0,D,0,D,0,D,0,A,0,A,0,A,0,A,0,,preferred,,600,A,150000,100,4532,Paid in full
1788,7235,616,A,150000,100,,,,,,,,,9.24,A,91,,Verified,A,N,,0,A,0,A,,,0,A,30,A,31152.5,A,10750,A,0.35,A,0,A,0,A,0,A,0,A,31152.5,,preferred,,616,A,150000,100,6333,Paid via discounted payoff
870,6174,568,B,100000,100,,,,,,,,,3.29,A,,,Home,A,N,,0,A,0,A,,,0,A,0,R,0,D,0,D,0,D,0,A,0,A,0,A,0,A,0,,preferred,,568,B,100000,100,5521,Paid in full
1257,3637,738,A,150000,100,,,,,,,,,32.54,A,31,,Verified,A,N,,0,A,0,A,,,0,A,5.8,R,182863,A,47566.4,A,0.26,A,0,A,0,A,0,A,1,A,182863,,preferred,,738,A,150000,100,3505,Default
730,5148,696,A,150000,25,697,A,150000,25,,,,,1.33,B,12,,Verified,A,N,,0,A,0,A,,,0.75,A,31.5,A,12995,A,0,D,0,D,0,A,0,A,0,A,0,A,12995,,preferred,,696,A,150000,50,4769,Paid in full
1667,6691,625,A,150000,80,601,A,150000,20,,,,,8.05,A,69,,Verified,A,N,,0,A,0,A,,,1.142857143,B,74.85714286,A,47251.28571,A,2859.857143,A,0.06,A,0,A,0,A,0,A,1,A,47251.28571,,preferred,,620,A,150000,100,5892,Paid off with renewal
45,111,650,A,150000,0,650,A,150000,0,,,,0,31.31,A,75,A,BRICK,A,N,,0,A,0,A,,,0.25,A,18.5,A,40227.9575,A,2901.625,A,0.07,A,0,A,0,A,0,A,2,C,40227.9575,,,,,,,,138,Paid in full
1359,4704,598,B,100000,100,,,,,,,,,6.69,A,,,Home,A,N,,0,A,0,A,,,0,A,0,R,0,D,0,D,0,D,0,A,0,A,0,A,0,A,0,,preferred,,598,B,100000,100,4538,Paid in full
